id,question,category1,category2,answer1,answer2,answer3,answer4
1,1. 非常にたくさんの仕事をしなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
2,2. 時間内に仕事が処理しきれない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
3,3. 一生懸命働かなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
4,4. かなり注意を集中する必要がある,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
5,5. 高度の知識や技術が必要なむずかしい仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
6,6. 勤務時間中はいつも仕事のことを考えていなければならない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
7,7. からだを大変よく使う仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
8,8. 自分のペースで仕事ができる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
9,9. 自分で仕事の順番・やり方を決めることができる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
10,10. 職場の仕事の方針に自分の意見を反映できる,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
11,11. 自分の技能や知識を仕事で使うことが少ない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
12,12. 私の部署内で意見のくい違いがある,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
13,13. 私の部署と他の部署とはうまが合わない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
14,14. 私の職場の雰囲気は友好的である,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
15,15. 私の職場の作業環境（騒音、照明、温度、換気など）はよくない,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
16,16. 仕事の内容は自分にあっている,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
17,17. 働きがいのある仕事だ,A あなたの仕事についてうかがいます。最もあてはまるものに○を付けてください,,そうだ,まあそうだ,ややちがう,ちがう
18,1. 活気がわいてくる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
19,2. 元気がいっぱいだ,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
20,3. 生き生きする,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
21,4. 怒りを感じる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
22,5. 内心腹立たしい,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
23,6. イライラしている,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
24,7. ひどく疲れた,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
25,8. へとへとだ,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
26,9. だるい,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
27,10. 気がはりつめている,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
28,11. 不安だ,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
29,12. 落着かない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
30,13. ゆううつだ,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
31,14. 何をするのも面倒だ,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
32,15. 物事に集中できない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
33,16. 気分が晴れない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
34,17. 仕事が手につかない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
35,18. 悲しいと感じる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
36,19. めまいがする,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
37,20. 体のふしぶしが痛む,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
38,21. 頭が重かったり頭痛がする,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
39,22. 首筋や肩がこる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
40,23. 腰が痛い,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
41,24. 目が疲れる,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
42,25. 動悸や息切れがする,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
43,26. 胃腸の具合が悪い,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
44,27. 食欲がない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
45,28. 便秘や下痢をする,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
46,29. よく眠れない,B 最近1か月間のあなたの状態についてうかがいます。最もあてはまるものに○を付けてください,,ほとんどなかった,ときどきあった,しばしばあった,ほとんどいつもあった
47,1. 上司,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,次の人たちはどのくらい気軽に話ができますか？,非常に,かなり,多少,全くない
48,2. 職場の同僚,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,次の人たちはどのくらい気軽に話ができますか？,非常に,かなり,多少,全くない
49,3. 配偶者、家族、友人等,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,次の人たちはどのくらい気軽に話ができますか？,非常に,かなり,多少,全くない
50,4. 上司,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたが困った時、次の人たちはどのくらい頼りになりますか？,非常に,かなり,多少,全くない
51,5. 職場の同僚,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたが困った時、次の人たちはどのくらい頼りになりますか？,非常に,かなり,多少,全くない
52,6. 配偶者、家族、友人等,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたが困った時、次の人たちはどのくらい頼りになりますか？,非常に,かなり,多少,全くない
53,7. 上司,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,非常に,かなり,多少,全くない
54,8. 職場の同僚,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,非常に,かなり,多少,全くない
55,9. 配偶者、家族、友人等,Ｃ あなたの周りの方々についてうかがいます。最もあてはまるものに○を付けてください,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,非常に,かなり,多少,全くない
56,1. 仕事に満足だ,Ｄ 満足度について,,満足,まあ満足,やや不満足,不満足
57,2. 家庭生活に満足だ,Ｄ 満足度について,,満足,まあ満足,やや不満足,不満足